Etunimi;Lukumäärä
Ojanperä;1328
Tuomola;1328
Manner;1327
Leivo;1326
Öhman;1320
Katajamäki;1318
Puumalainen;1318
Saikkonen;1318
Viljakainen;1318
Lappi;1316
Vatanen;1315
Mähönen;1314
Pulli;1314
Isotalo;1313
Sairanen;1312
Nissilä;1311
Kaunisto;1309
Salovaara;1309
Sundberg;1307
Peltomaa;1306
Wallin;1306
Kukkola;1304
Putkonen;1303
Vehviläinen;1303
Naukkarinen;1297
Pohjonen;1296
Juutilainen;1295
Kaukonen;1294
Sipola;1290
Nordman;1287
Hukkanen;1286
Kankkunen;1285
Numminen;1284
Oja;1284
Kekäläinen;1282
Huhta;1279
Olkkonen;1278
Heimonen;1272
Jämsä;1271
Vauhkonen;1270
Väätäinen;1270
Pynnönen;1269
Suokas;1267
Kurvinen;1265
Tynkkynen;1265
Virkkunen;1265
Holma;1264
Kervinen;1264
Lähde;1264
Pihlajamäki;1264
Haikonen;1263
Vikman;1262
Mutanen;1258
Pihlaja;1256
Siltala;1256
Vanhatalo;1253
Malmberg;1249
Mäkeläinen;1248
Reponen;1247
Kohonen;1246
Hurskainen;1245
Blom;1244
Kumpula;1244
Säkkinen;1243
Palmu;1241
Haapakoski;1240
Ovaska;1239
Hintikka;1238
Murto;1238
Haanpää;1237
Lindell;1235
Pylkkänen;1234
Kaipainen;1229
Mannila;1229
Lintula;1227
Elomaa;1226
Roos;1225
Kiviranta;1224
Kuoppala;1220
Huhtanen;1219
Päivinen;1216
Kilpinen;1215
Kovalainen;1215
Poutiainen;1213
Söderholm;1212
Vainikka;1212
Ek;1211
Klemetti;1210
Ovaskainen;1208
Kupiainen;1207
Jokelainen;1206
Kivi;1205
Vainikainen;1203
Perttula;1201
Ratilainen;1201
Rouhiainen;1201
Himanen;1200
Pietarinen;1199
Mielonen;1198
Raitanen;1198
Suuronen;1196
Viinikainen;1188
Tarkiainen;1179
Rekola;1176
Liikanen;1173
Sarkkinen;1169
Bergström;1166
Leskelä;1166
Lundberg;1165
Saarenpää;1162
Tölli;1160
Ruokonen;1159
Haapamäki;1158
Fagerström;1157
Siivonen;1155
Rantamäki;1153
Granholm;1150
Tuononen;1150
Kannisto;1149
Raappana;1149
Julkunen;1147
Vaara;1147
Janhunen;1143
Parikka;1142
Veijalainen;1141
Gröhn;1139
Peura;1139
Ström;1139
Ilomäki;1138
Kirjavainen;1138
Sarajärvi;1137
Granlund;1136
Jalava;1135
Saario;1134
Junnila;1131
Sundell;1131
Majuri;1129
Marjamäki;1129
Vänttinen;1128
Palo;1127
Rahikainen;1126
Laatikainen;1125
Ripatti;1124
Saarikoski;1124
Martin;1123
Häggblom;1121
Tanninen;1121
Vesa;1121
Nikander;1120
Äijälä;1120
Westerholm;1116
Reunanen;1115
Varjonen;1115
Loikkanen;1112
Kauranen;1110
Okkonen;1110
Pentikäinen;1110
Kemppi;1108
Lyytinen;1108
Katainen;1106
Åkerlund;1106
Myllynen;1105
Åberg;1105
Oksa;1104
Heinänen;1103
Hongisto;1102
Jutila;1102
Lampela;1101
Kunnari;1100
Blomberg;1099
